domain,part_of,provenance
ilquotidaino.wordpress.com,blacklist,butac.net
gazzettadimantova.gelocal.it,testate,fieg
databaseitalia.it,blacklist,bufale.net
soundcloud.com,blacklist,bufale.net
ilrestodelcarlino.it,testate,fieg
focus.it,testate,fieg
info24ore.com,blacklist,bufale.net
mag24.es,blacklist,butac.net
lantidiplomatico.it,blacklist,newsguard
paginemediche.it,whitelist,aequa-tech.com
liberta.it,testate,fieg
thuglifevideos.com,blacklist,butac.net
portale.fnomceo.it,whitelist,aequa-tech.com
ununiverso.altervista.org,blacklist,bufale.net
lospecchio.com,blacklist,bufale.net
altrarealta.blogspot.it,blacklist,bufale.net
apriregliocchi.altervista.org,blacklist,bufale.net
devinformarti.blogspot.it,blacklist,butac.net
direttanews.it,blacklist,butac.net
liberoquotidiano.it,testate,fieg
worldnewsdailyreport.com,blacklist,butac.net
aprilamente.myblog.it,blacklist,bufale.net
wwwblogdicristian.blogspot.it,blacklist,bufale.net
mariagrazias.com,blacklist,bufale.net
sanpaolo.orggio,testate,fieg
notizieinmovimentonews.blogspot.it,blacklist,butac.net
toba60.com,blacklist,bufale.net
airc.it,whitelist,aequa-tech.com
olivieromannucci.blogspot.it,blacklist,bufale.net
altoadige.it,testate,fieg
humanitasalute.it,whitelist,aequa-tech.com
maurizioblondet.it,blacklist,butac.net
informaresenzacensure.blogspot.com,blacklist,butac.net
socialbuzz.it,blacklist,butac.net
ilpiccolo.gelocal.it,testate,fieg
gazzettadelsud.it,testate,fieg
notiziedalpopolo.altervista.org,blacklist,bufale.net
corrierealpi.gelocal.it,testate,fieg
imolaoggi.it,blacklist,butac.net
nwonuovoordinemondiale.wordpress.com,blacklist,bufale.net
vacciniinforma.com,blacklist,bufale.net
ilriformista.it,testate,fieg
oltre.tv,blacklist,bufale.net
fonteverificata.it,blacklist,butac.net
guerinsportivo.it,testate,fieg
chiaveorgonica.altervista.org (satire),blacklist,butac.net
repubblica.it,testate,fieg
beatricesilenzi.it,blacklist,bufale.net
vox.com,blacklist,aequa-tech.com
uraniamania.com,testate,fieg
avvenire.it,testate,fieg
bresciaoggi.it,testate,fieg
ilsapereepotere.blogspot.it,blacklist,bufale.net
questaitalia.wordpress.com,blacklist,bufale.net
ilbazarinformazione.blogspot.it,blacklist,butac.net
open.online,testate_online,aequa-tech.com
gentleman.it,testate,fieg
blogopenyoureyes.altervista.org,blacklist,butac.net
giornalettismo.com,testate_online,aequa-tech.com
tanker-enemy.eu,blacklist,bufale.net
giallozafferano.it,testate,fieg
gazzettadiparma.it,testate,fieg
famigliacristiana.it,testate,fieg
amica.it,testate,fieg
visionetv.it,blacklist,bufale.net
perdavvero.com,blacklist,butac.net
mondonews1.blogspot.it,blacklist,bufale.net
laprovinciapavese.it,testate,fieg
santantonio.org,testate,fieg
larena.it,testate,fieg
valigiablu.it,testate_online,aequa-tech.com
laveritadininconaco.altervista.org,blacklist,bufale.net
renovatio21.com,blacklist,butac.net
gazzetta.it,testate,fieg
tanker-enemy.com,blacklist,butac.net
sorrisi.com,testate,fieg
webnews24h.it,blacklist,bufale.net
ilpost.it,testate_online,aequa-tech.com
terrarealtime2.blogspot.com,blacklist,bufale.net
corriere.it,testate,fieg
capital.it,testate,fieg
tuttotrasporti.it,testate,fieg
ilcorrieredelmattino.it,blacklist,bufale.net
effervescienza.com,blacklist,bufale.net
secretnews.fr,blacklist,butac.net
simg.it,whitelist,aequa-tech.com
chiaveorgonica.altervista.org,blacklist,bufale.net
galileonet.it,whitelist,aequa-tech.com
lafucina.it,blacklist,bufale.net
ilmeteo.it,blacklist,bufale.net
ilmassaggero.altervista.org,blacklist,bufale.net
lafinanzasulweb.it,blacklist,bufale.net
gazzettadimodena.it,testate,fieg
nexusedizioni.it,blacklist,bufale.net
med4.care,whitelist,aequa-tech.com
conoscenzealconfine.it,blacklist,bufale.net
saltoquantico.org,blacklist,butac.net
ioeilmiobambino.it,testate,fieg
cortesovrana.it,blacklist,bufale.net
autismovaccini.org,blacklist,butac.net
pianetablunews.wordpress.com,blacklist,butac.net
hackthematrix.it,blacklist,bufale.net
ansa.it,whitelist,aequa-tech.com
laprovinciadicremona.it,testate,fieg
iltirreno.it,testate,fieg
mammainrete.blogspot.com,blacklist,bufale.net
mednat.news,blacklist,bufale.net
benesserefeed.it,blacklist,bufale.net
disquisendo.wordpress.com,blacklist,bufale.net
peertube.it,blacklist,bufale.net
nibiru2012.it,blacklist,bufale.net
ecplanet.org,blacklist,bufale.net
medicinenon.it,blacklist,bufale.net
breaknotizie.com,blacklist,butac.net
luoghidellinfinito.it,testate,fieg
tg5stelle.it,blacklist,butac.net
ilgiornale.it,testate,fieg
byoblu.com,blacklist,butac.net
yournewswire.com,blacklist,butac.net
informare.over-blog.it,blacklist,butac.net
vigilantcitizen.com,blacklist,bufale.net
lasentinella.gelocal.it,testate,fieg
cavallomagazine.it,testate,fieg
superbamente.com,blacklist,butac.net
voxnews.info,blacklist,butac.net
avis.it,whitelist,aequa-tech.com
tuttosport.com,testate,fieg
ilpuntosulmistero.it,blacklist,bufale.net
iocritico.com,blacklist,butac.net
scenarieconomici.it,blacklist,butac.net
controinformoblog.altervista.org,blacklist,bufale.net
internapoli.it,blacklist,butac.net
rassegneitalia.info,blacklist,newsguard
ilmessaggio.it,blacklist,butac.net
abitare.it,testate,fieg
loguardoconte.info,blacklist,bufale.net
dentrolanotizia-robymaster.jimdofree.com,blacklist,bufale.net
attivo.tv,blacklist,bufale.net
grandeinganno.it,blacklist,newsguard
informasalus.it,blacklist,bufale.net
tmcrew.org,blacklist,butac.net
askanews.it,testate,fieg
salute.gov.it,whitelist,aequa-tech.com
jhwhinri.blogspot.it,blacklist,bufale.net
ilparagone.it,blacklist,newsguard
linkiesta.it,testate_online,aequa-tech.com
unionesarda.it,testate,fieg
notiziariosegreto.wordpress.com,blacklist,butac.net
direttanfo.blogspot.it,blacklist,butac.net
meteoweb.eu,blacklist,bufale.net
alcyonpleiadi.blogspot.it,blacklist,bufale.net
younetspiegalevele.altervista.org,blacklist,bufale.net
ilgiomale.it,blacklist,bufale.net
freeondarevolution.blogspot.it,blacklist,bufale.net
iss.it,whitelist,aequa-tech.com
raggioindaco.wordpress.com,blacklist,bufale.net
adnkronos.com,testate,fieg
secoloditalia.it,testate,fieg
iovivoaroma.org,blacklist,bufale.net
ilnavigatorecurioso.it,blacklist,bufale.net
paoloferrarocdd.blogspot.it,blacklist,bufale.net
gamberorosso.it,testate,fieg
videoscoop.info,blacklist,bufale.net
luogocomune.net,blacklist,butac.net
dire.it,testate,fieg
naturalnews.com,blacklist,butac.net
prealpina.it,testate,fieg
alfredolio.wordpress.com,blacklist,bufale.net
archivio.almanacco.cnr.it,whitelist,aequa-tech.com
filosofiaelogos.it,blacklist,bufale.net
veoh.com,blacklist,bufale.net
neovitruvian.wordpress.com,blacklist,bufale.net
dionidream.com,blacklist,butac.net
vivoinsalute.com,blacklist,bufale.net
youngtimer.it,testate,fieg
disinformazione.it,blacklist,butac.net
complottisti.info,blacklist,bufale.net
thelivingspirits.net,blacklist,bufale.net
gazzettadireggio.it,testate,fieg
delta-leveritanascoste.blogspot.it,blacklist,bufale.net
saltoquantico.net,blacklist,bufale.net
tgnewsitalia.it,blacklist,butac.net
ilsapereepotere2.blogspot.com,blacklist,bufale.net
stpauls.itvita,testate,fieg
italpress.com,testate,fieg
casabella.eu,testate,fieg
jedanews.it,blacklist,butac.net
corrierediviterbo.it,testate,fieg
medicalfacts.it,whitelist,aequa-tech.com
nuovavenezia.gelocal.itvenezia,testate,fieg
ilsole24ore.com,testate,fieg
ilmattoquotidiano.it,blacklist,butac.net
sostenitori.info,blacklist,butac.net
controinformazione.info,blacklist,newsguard
marionegri.it,whitelist,aequa-tech.com
viralmagazine.it,blacklist,bufale.net
ricercaindipendente.net,blacklist,bufale.net
tg24-ore.com,blacklist,butac.net
